nombre,link,img_url,variaciones,categoria
Zadig con Tachas,https://toucheimport.mitiendanube.com/productos/zadig-con-tachas/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Blanco;Negro;Blanco;Jean;Amarillo;Plateado;Dorado;Dorado;Plateado;Negro;Plateado;Gris,Zadig & Voltaire
Zadig,https://toucheimport.mitiendanube.com/productos/zadig2/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dorado;Plateado;Negro;Blanco;Jean;Amarillo;Plateado;Dorado;Negro;Blanco;Negro;Plateado;Gris,Zadig & Voltaire
Zadig,https://toucheimport.mitiendanube.com/productos/zadig1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Blanco;Jean;Amarillo;Plateado;Dorado;Negro;Blanco;Negro;Plateado;Gris;Dorado;Plateado,Zadig & Voltaire
Bolso Zadig,https://toucheimport.mitiendanube.com/productos/bolso-zadig1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Blanco;Dorado;Plateado;Negro;Blanco;Jean;Amarillo;Plateado;Dorado;Negro;Plateado;Gris,Zadig & Voltaire
Tory Burch,https://toucheimport.mitiendanube.com/productos/tory-burch1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Azul;Negro,Tory Burch
Burberry,https://toucheimport.mitiendanube.com/productos/burberry/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Negro,Valijas
Mont Blanc,https://toucheimport.mitiendanube.com/productos/mont-blanc/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Negro,Valijas
Louis Vuitton,https://toucheimport.mitiendanube.com/productos/louis-vuitton2/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Negro,Valijas
Gucci,https://toucheimport.mitiendanube.com/productos/gucci1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Negro,Valijas
Chanel,https://toucheimport.mitiendanube.com/productos/chanel1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Negro,Valijas
Louis Vuitton,https://toucheimport.mitiendanube.com/productos/louis-vuitton3/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Blanco;Negro,Ojotas
Set Chanel,https://toucheimport.mitiendanube.com/productos/set-chanel/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,Chanel
Balenciaga Le Cagole,https://toucheimport.mitiendanube.com/productos/balenciaga-le-cagole/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Violeta;Jean;Celeste;Rosa;Verde;Blanco;Negro;Blanco,Balenciaga
Balenciaga Rodeo Bag,https://toucheimport.mitiendanube.com/productos/balenciaga-rodeo-bag/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Blanco;Negro;Violeta;Jean;Celeste;Rosa;Verde;Blanco,Balenciaga
Marc Jacobs Snapshot,https://toucheimport.mitiendanube.com/productos/marc-jacobs-snapshot/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Blanco,Marc Jacobs
Diesel 1DR Bag,https://toucheimport.mitiendanube.com/productos/diesel-1dr-bag/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,Diesel
Quencher Stitch,https://toucheimport.mitiendanube.com/productos/quencher-stitch/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,Quencher
Quencher Messi,https://toucheimport.mitiendanube.com/productos/quencher-messi/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,Quencher
Valentino con Piedras,https://toucheimport.mitiendanube.com/productos/valentino-con-piedras/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Azul;Jean;Celeste,Valentino
